tabular-actgan-659c3ee9e6d21c30ddf4418d-data_preview
Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001146,Male,No,0,Graduate,No,2071,1826.45315098,236.0,360.0,1.0,Semiurban,N
LP001024,Male,No,0,Graduate,No,8466,0.0,263.0,359.0,1.0,Semiurban,Y
LP001038,Female,Yes,1,Graduate,Yes,2646,328.53777773,41.0,348.0,1.0,Semiurban,N
LP001565,Male,No,3,Not Graduate,No,150,604.44422971,,,1.0,Rural,Y
LP001038,Male,Yes,3,Graduate,No,12542,365.29517659,25.0,,0.0,Urban,Y
LP001146,Male,No,0,Graduate,No,4239,460.03883596,204.0,370.0,1.0,Rural,Y
LP001018,Male,No,0,Graduate,No,6265,902.55452879,43.0,371.0,1.0,Semiurban,Y
LP001038,Female,Yes,0,Graduate,No,1681,1665.12288467,158.0,353.0,0.0,Semiurban,N
LP001005,Male,No,1,Graduate,No,11452,7899.17591069,39.0,353.0,1.0,Urban,Y
LP001136,Female,Yes,3,Graduate,No,7402,0.0,79.0,352.0,1.0,Rural,Y
LP001155,Male,No,3,Graduate,No,13508,559.97460084,262.0,371.0,1.0,Urban,Y
LP001119,Male,No,0,Graduate,No,7197,0.0,273.0,364.0,1.0,Semiurban,Y
LP001018,Male,No,0,Graduate,No,150,0.0,268.0,367.0,1.0,Semiurban,Y
LP001616,Male,Yes,0,Not Graduate,No,7388,3374.98067062,211.0,371.0,1.0,Rural,N
LP001469,Male,No,0,Graduate,No,150,3247.02493063,251.0,349.0,,Urban,Y
LP001003,Male,Yes,2,Not Graduate,No,6809,0.0,44.0,349.0,1.0,Semiurban,Y
LP001451,Male,No,1,Graduate,No,28032,0.0,257.0,371.0,0.0,Semiurban,Y
LP001155,Male,No,3,Graduate,No,6813,706.47249517,198.0,371.0,1.0,Urban,N
LP001052,Female,Yes,1,Graduate,No,1542,0.0,36.0,359.0,1.0,Urban,Y
LP001047,Male,No,1,Graduate,No,7390,406.95731906,9.0,353.0,0.0,Semiurban,Y
LP001038,Male,Yes,0,Graduate,No,150,0.0,227.0,368.0,1.0,Rural,Y
LP001034,Female,Yes,,Graduate,No,6551,0.0,70.0,352.0,0.0,Rural,Y
LP001002,Male,Yes,1,Graduate,No,13648,78.69231683,141.0,352.0,0.0,Urban,Y
LP001155,Female,Yes,2,Graduate,No,31329,41667.0,173.0,349.0,1.0,Urban,Y
LP001155,Male,No,3,Graduate,Yes,2285,2094.55439213,176.0,368.0,1.0,Urban,Y
LP001038,Male,Yes,1,Graduate,No,12556,7601.07576894,158.0,349.0,1.0,Semiurban,Y
LP001155,Male,No,1,Graduate,Yes,14552,2691.31961871,13.0,,1.0,Urban,Y
LP001034,Male,Yes,3,Graduate,No,7984,0.0,168.0,371.0,0.0,Rural,Y
LP001198,Female,Yes,3,Graduate,No,1034,402.55438082,42.0,348.0,1.0,Urban,Y
LP001198,Male,,0,Not Graduate,No,27479,684.46244938,26.0,165.0,1.0,Urban,N
LP001179,Male,No,3,Not Graduate,No,150,0.0,298.0,365.0,1.0,Urban,Y
LP001535,Male,No,1,Graduate,No,1346,748.16901401,27.0,349.0,0.0,Rural,Y
LP001052,Male,No,0,Graduate,No,22190,0.0,55.0,350.0,1.0,Semiurban,N
LP001151,Male,Yes,1,Graduate,No,4559,0.0,491.0,353.0,1.0,Semiurban,Y
LP001516,Male,Yes,0,Graduate,No,12264,844.55094225,9.0,67.0,1.0,Semiurban,Y
LP001002,Male,Yes,0,Not Graduate,No,13011,1494.95977007,268.0,349.0,1.0,Urban,Y
LP001046,Male,No,3,Graduate,No,150,0.0,227.0,,1.0,Urban,Y
LP001451,Male,Yes,3,Not Graduate,No,150,0.0,117.0,371.0,1.0,Rural,Y
LP001005,Male,No,2,Graduate,No,150,2813.72945819,354.0,339.0,1.0,Semiurban,Y
LP001038,Male,Yes,1,Graduate,No,150,6075.20011157,186.0,354.0,1.0,Urban,Y
LP001034,Male,Yes,1,Graduate,No,150,0.0,261.0,348.0,0.0,Rural,Y
LP001038,Female,Yes,2,Graduate,No,2341,607.92507974,9.0,350.0,1.0,Urban,Y
LP001144,Male,No,,Graduate,Yes,4427,3289.14679927,92.0,348.0,1.0,Urban,N
LP001038,Male,Yes,3,Graduate,No,13215,8341.39786502,,350.0,1.0,Semiurban,Y
LP001036,Male,Yes,1,Graduate,No,1605,4505.21562524,,371.0,1.0,Urban,Y
LP001034,Female,Yes,0,Graduate,No,6377,588.51301073,9.0,358.0,1.0,Urban,Y
LP001034,Male,Yes,0,Graduate,No,14790,0.0,131.0,,1.0,Semiurban,Y
LP001003,Male,Yes,0,Graduate,No,4786,633.78476133,15.0,350.0,1.0,Rural,Y
LP001018,Male,Yes,0,Not Graduate,No,150,16.84444808,270.0,353.0,1.0,Rural,N
LP001119,Male,No,0,Not Graduate,No,7437,0.0,163.0,369.0,1.0,Rural,Y
LP001038,Male,Yes,1,Graduate,No,704,0.0,9.0,353.0,1.0,Rural,Y
LP001100,Male,No,1,Graduate,No,150,0.0,9.0,349.0,1.0,Semiurban,Y
LP001005,Female,Yes,1,Not Graduate,No,12700,1529.32626579,,115.0,1.0,Semiurban,Y
LP001146,Male,Yes,0,Graduate,No,7705,0.0,67.0,366.0,1.0,Rural,Y
LP001155,Male,No,0,Graduate,No,150,0.0,9.0,359.0,1.0,Rural,Y
LP001560,Male,No,1,Not Graduate,No,26206,2174.82489926,171.0,368.0,1.0,Urban,Y
LP001531,Female,Yes,3,Graduate,Yes,14641,0.0,249.0,360.0,,Urban,Y
LP001155,Male,,1,Graduate,No,150,4513.78984392,32.0,351.0,0.0,Rural,Y
LP001038,Male,Yes,2,Graduate,No,24861,3692.57057885,214.0,473.0,1.0,Rural,Y
LP001186,Male,No,0,Graduate,,27429,0.0,9.0,353.0,1.0,Urban,Y
LP001005,Male,No,3,Graduate,No,150,1326.83010685,45.0,,1.0,Rural,Y
LP001516,Male,No,3,Graduate,No,7193,0.0,97.0,359.0,1.0,Rural,Y
LP001155,Male,Yes,1,Graduate,No,150,4238.74296065,324.0,360.0,1.0,Urban,Y
LP001267,Male,Yes,0,Not Graduate,No,150,594.85011133,318.0,348.0,1.0,Urban,Y
LP001052,Male,,0,Not Graduate,Yes,1479,0.0,,354.0,1.0,Rural,Y
LP001155,Female,Yes,,Graduate,No,2474,3972.49716849,269.0,355.0,1.0,Urban,Y
LP001114,Female,,0,Not Graduate,No,220,0.0,358.0,366.0,1.0,Rural,Y
LP001002,Male,Yes,0,Graduate,No,7302,0.0,229.0,349.0,1.0,Rural,N
LP001100,Male,No,0,Graduate,No,150,143.93396763,,327.0,1.0,Semiurban,Y
LP001005,Female,,1,Not Graduate,No,2274,0.0,270.0,244.0,1.0,Rural,N
LP001146,Female,Yes,3,Graduate,No,11866,0.0,80.0,353.0,,Semiurban,Y
LP001114,Female,,1,Graduate,No,2525,0.0,228.0,357.0,1.0,Urban,Y
LP001155,Male,No,1,Graduate,Yes,12561,279.24500246,248.0,371.0,1.0,Urban,Y
LP001146,Male,Yes,1,Graduate,No,3059,0.0,234.0,329.0,1.0,Urban,Y
LP001034,Male,Yes,0,Graduate,No,6765,4042.45901329,9.0,255.0,1.0,Rural,Y
LP001155,Male,No,2,Graduate,No,1899,1164.81399299,154.0,349.0,1.0,Rural,Y
LP001005,Male,No,0,Graduate,No,11369,0.0,9.0,360.0,,Urban,Y
LP001008,Male,No,2,Not Graduate,No,150,265.65593185,220.0,351.0,1.0,Rural,Y
LP001516,Female,No,,Graduate,No,150,0.0,9.0,350.0,1.0,Semiurban,Y
LP001616,Male,Yes,1,Graduate,No,5714,0.0,220.0,354.0,1.0,Rural,Y
LP001100,Male,No,0,Graduate,No,10985,0.0,125.0,348.0,1.0,Urban,Y
LP001038,Male,No,0,Graduate,No,883,606.5516181,133.0,348.0,,Rural,Y
LP001038,Male,Yes,2,Not Graduate,No,3386,398.26776465,222.0,368.0,1.0,Urban,Y
LP001086,Female,No,0,Graduate,No,150,295.21251452,259.0,349.0,1.0,Semiurban,Y
LP001516,Male,No,0,Graduate,No,7462,0.0,185.0,,0.0,Rural,Y
LP001100,Male,Yes,1,Graduate,No,3508,2563.41350218,262.0,366.0,0.0,Semiurban,Y
LP001451,Female,Yes,1,Graduate,,5773,2231.88544049,38.0,402.0,1.0,Urban,N
LP001508,Male,Yes,2,Graduate,No,13517,0.0,9.0,349.0,1.0,Urban,N
LP001146,Male,No,1,Graduate,No,20202,0.0,268.0,369.0,,Urban,Y
LP001038,Male,Yes,2,Graduate,No,7025,582.17944486,25.0,369.0,0.0,Urban,Y
LP001112,Male,No,0,Not Graduate,,3358,1492.74685979,700.0,364.0,1.0,Urban,N
LP001146,Male,Yes,0,Not Graduate,No,18400,380.52368385,9.0,351.0,1.0,Urban,Y
LP001097,Male,No,1,Graduate,No,6971,0.0,,359.0,1.0,Urban,Y
LP001146,Male,Yes,2,Not Graduate,No,11384,0.0,249.0,480.0,1.0,Semiurban,Y
LP001100,Male,Yes,0,Graduate,No,150,684.35431465,344.0,349.0,1.0,Rural,Y
LP001146,Female,Yes,2,Graduate,No,81000,0.0,235.0,372.0,1.0,Urban,Y
LP001633,Male,No,0,Not Graduate,No,2897,0.0,271.0,371.0,1.0,Urban,Y
LP001005,Male,No,3,Not Graduate,No,150,617.28112746,9.0,349.0,1.0,Rural,Y
LP001146,Male,Yes,0,Not Graduate,No,12226,1217.00026577,253.0,371.0,1.0,Semiurban,Y
LP001100,Male,No,3,Graduate,No,9934,52.24850271,123.0,367.0,0.0,Rural,Y
LP001034,Male,Yes,,Graduate,No,31653,2033.29100986,235.0,480.0,,Semiurban,Y
LP001034,Male,Yes,0,Graduate,No,7522,1373.62749667,147.0,355.0,1.0,Urban,Y
LP001155,Male,No,0,Graduate,No,31181,2641.22977433,199.0,352.0,1.0,Urban,Y
LP001018,Male,Yes,1,Graduate,No,150,0.0,140.0,353.0,1.0,Urban,Y
LP001034,Male,Yes,0,Graduate,No,150,3488.81730495,552.0,357.0,,Semiurban,N
LP001097,Male,Yes,1,Graduate,No,668,7693.66790194,268.0,349.0,1.0,Urban,Y
LP001146,Male,Yes,0,Graduate,No,150,4523.13542887,157.0,368.0,1.0,Semiurban,Y
LP001003,Male,Yes,1,Not Graduate,No,2589,0.0,238.0,368.0,1.0,Semiurban,Y
LP001109,Male,,0,Graduate,No,315,0.0,,351.0,,Rural,Y
LP001146,Male,No,1,Graduate,No,2730,0.0,223.0,352.0,,Urban,N
LP001002,Male,No,2,Graduate,No,7319,4283.33360676,126.0,351.0,0.0,Urban,Y
LP001186,Male,No,0,Graduate,No,679,840.52450117,31.0,349.0,1.0,Urban,Y
LP001155,Male,Yes,0,Graduate,No,150,4276.14579594,63.0,350.0,1.0,Urban,Y
LP001005,Male,Yes,1,Graduate,No,150,0.0,273.0,371.0,1.0,Semiurban,Y
LP001465,Male,Yes,0,Not Graduate,No,14615,0.0,9.0,12.0,1.0,Urban,Y
LP001034,Male,No,1,Graduate,No,8941,0.0,9.0,349.0,0.0,Rural,Y
LP001002,Male,Yes,0,Graduate,No,9265,0.0,237.0,365.0,1.0,Semiurban,Y
LP001047,Male,Yes,1,Not Graduate,No,150,0.0,9.0,349.0,1.0,Rural,N
LP001038,Male,No,1,Graduate,Yes,31877,150.89091067,9.0,368.0,1.0,Semiurban,Y
LP001195,Female,Yes,3,Not Graduate,Yes,3193,0.0,,365.0,1.0,Rural,Y
LP001097,Male,No,0,Not Graduate,No,150,3200.57782872,273.0,362.0,1.0,Semiurban,Y
LP001146,Female,Yes,1,Graduate,No,14636,2861.20988217,,,1.0,Urban,N
LP001066,Male,Yes,,Graduate,No,10121,0.0,52.0,371.0,1.0,Urban,Y
LP001100,Male,Yes,1,Graduate,No,150,831.71364623,269.0,357.0,0.0,Urban,Y
LP001119,Male,No,0,Graduate,No,150,1946.35748125,398.0,355.0,1.0,Semiurban,Y
LP001034,Male,Yes,1,Graduate,No,3536,682.1892712,137.0,349.0,1.0,Urban,Y
LP001100,Male,No,0,Graduate,No,150,2087.51117256,253.0,349.0,1.0,Semiurban,Y
LP001565,,No,0,Graduate,No,150,0.0,266.0,356.0,,Urban,Y
LP001024,Male,Yes,0,Graduate,No,6570,0.0,9.0,,1.0,Urban,Y
LP001032,Male,Yes,2,Graduate,No,14863,4011.41693936,32.0,357.0,0.0,Urban,N
LP001155,Female,Yes,1,Graduate,No,4746,693.68279337,268.0,416.0,1.0,Urban,Y
LP001186,Male,Yes,,Graduate,No,7014,2348.59431099,249.0,358.0,1.0,Rural,Y
LP001034,Male,,1,Graduate,No,2310,0.0,150.0,369.0,1.0,Urban,Y
LP001749,Male,Yes,0,Graduate,No,31569,0.0,9.0,368.0,1.0,Urban,Y
LP001186,Male,Yes,0,Graduate,No,150,600.675126,267.0,349.0,1.0,Semiurban,N
LP001038,Male,No,1,Not Graduate,No,150,0.0,9.0,348.0,1.0,Urban,Y
LP001034,Male,Yes,0,Graduate,No,150,0.0,252.0,,1.0,Rural,Y
LP001144,Female,No,3,Graduate,No,150,0.0,9.0,367.0,0.0,Urban,Y
LP001038,Male,No,,Graduate,No,150,3884.17040609,254.0,,1.0,Urban,N
LP001034,Female,No,1,Graduate,Yes,4155,9004.1355409,,367.0,1.0,Rural,Y
LP001034,Female,Yes,1,Not Graduate,No,6102,0.0,263.0,350.0,1.0,Urban,Y
LP001516,Male,Yes,2,Graduate,No,14409,0.0,9.0,366.0,1.0,Urban,Y
LP001068,Male,No,0,Graduate,No,150,0.0,127.0,252.0,1.0,Urban,Y
LP001978,Male,Yes,1,Graduate,No,1614,183.18967461,57.0,,1.0,Urban,N
LP001038,Male,No,1,Graduate,No,5425,1898.96278699,9.0,350.0,1.0,Semiurban,Y
LP001100,Male,Yes,3,Graduate,No,1760,1916.59405795,69.0,354.0,1.0,Urban,Y
LP001038,Male,Yes,0,Graduate,No,11672,0.0,253.0,349.0,0.0,Urban,Y
LP001002,Male,No,1,Graduate,No,5025,0.0,224.0,358.0,,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,Yes,2244,3012.16175495,,367.0,1.0,Urban,N
LP001155,Male,Yes,1,Graduate,No,4505,0.0,215.0,357.0,0.0,Semiurban,N
LP001123,Female,Yes,3,Graduate,No,10679,0.0,9.0,363.0,1.0,Semiurban,Y
LP001034,Male,Yes,0,Graduate,No,150,183.70850636,220.0,349.0,1.0,Rural,Y
LP001487,Male,No,1,Not Graduate,No,1047,2136.51965253,250.0,370.0,1.0,Rural,Y
LP001038,Male,Yes,0,Graduate,No,32113,454.43003862,166.0,245.0,1.0,Urban,N
LP001032,Female,Yes,1,Not Graduate,No,150,0.0,700.0,370.0,1.0,Urban,Y
LP001052,Male,Yes,1,Graduate,No,28925,0.0,262.0,371.0,1.0,Urban,Y
LP001068,Male,No,0,Graduate,No,3256,0.0,258.0,360.0,1.0,Rural,Y
LP001100,Male,No,,Not Graduate,No,2970,1874.27961087,221.0,353.0,1.0,Urban,Y
LP001508,Male,Yes,1,Graduate,No,14668,342.32902421,319.0,364.0,1.0,Semiurban,Y
LP001146,Male,Yes,1,Graduate,No,31390,118.77498433,109.0,360.0,1.0,Rural,Y
LP001038,Male,,1,Graduate,No,3091,0.0,9.0,354.0,1.0,Semiurban,Y
LP001186,Male,Yes,1,Graduate,No,150,0.0,262.0,349.0,1.0,Urban,Y
LP001038,Male,No,0,Graduate,No,13421,0.0,,351.0,1.0,Semiurban,N
LP001155,Male,No,1,Graduate,No,1187,3248.34936667,700.0,363.0,1.0,Rural,Y
LP001005,Male,Yes,0,Not Graduate,No,150,7317.73166355,262.0,358.0,0.0,Urban,Y
LP001034,Male,Yes,1,Graduate,No,31171,707.53546405,195.0,255.0,1.0,Semiurban,Y
LP001024,Male,Yes,0,Graduate,No,31163,0.0,9.0,362.0,1.0,Rural,Y
LP001038,Male,Yes,0,Graduate,No,4176,0.0,700.0,349.0,1.0,Semiurban,Y
LP001155,Male,No,1,Graduate,No,150,466.30509503,325.0,349.0,1.0,Rural,Y
LP001002,Male,Yes,0,Not Graduate,No,4556,636.01512819,266.0,356.0,1.0,Semiurban,Y
LP001560,Male,No,3,Graduate,No,4164,1406.05704995,9.0,351.0,1.0,Urban,Y
LP001034,Male,Yes,1,Graduate,No,150,807.763797,114.0,50.0,1.0,Semiurban,Y
LP001146,Male,No,,Not Graduate,No,595,6764.67272768,435.0,355.0,,Rural,Y
LP001052,Male,Yes,3,Graduate,No,150,0.0,237.0,364.0,0.0,Semiurban,Y
LP001155,,No,,Graduate,Yes,1053,0.0,264.0,354.0,1.0,Urban,Y
LP001097,Male,No,1,Not Graduate,,28905,0.0,88.0,352.0,1.0,Urban,N
LP001038,Male,No,3,Graduate,No,3883,638.37139053,9.0,348.0,1.0,Rural,Y
LP001038,Male,No,1,Not Graduate,No,14067,2462.30636039,95.0,355.0,1.0,Semiurban,Y
LP001038,Male,No,0,Graduate,No,150,0.0,181.0,357.0,1.0,Rural,Y
LP001018,Male,Yes,2,Graduate,No,150,1953.53561913,264.0,351.0,1.0,Semiurban,Y
LP001002,Male,No,2,Graduate,Yes,4002,848.91024415,9.0,349.0,1.0,Semiurban,Y
LP001155,Male,No,3,Graduate,No,150,0.0,16.0,354.0,1.0,Rural,Y
LP001155,Male,,0,Not Graduate,No,2468,0.0,155.0,358.0,1.0,Urban,Y
LP001146,Male,Yes,0,Graduate,No,26327,461.39572144,197.0,353.0,1.0,Urban,Y
LP001146,Male,Yes,0,Graduate,No,1479,577.20092026,124.0,369.0,1.0,Rural,Y
LP001038,Male,No,2,Graduate,No,150,784.86485402,272.0,348.0,1.0,Urban,Y
LP001038,Male,Yes,0,Graduate,No,7379,270.75827112,9.0,351.0,1.0,Urban,Y
LP001155,Male,Yes,1,Graduate,No,150,0.0,272.0,350.0,1.0,Rural,Y
LP001034,Male,Yes,1,Graduate,No,150,3613.32863805,9.0,348.0,1.0,Urban,Y
LP001155,Male,No,3,Graduate,No,150,0.0,34.0,363.0,1.0,Urban,Y
LP001041,Male,No,1,Graduate,No,150,439.67334142,182.0,350.0,0.0,Rural,Y
LP001005,Male,No,3,Graduate,No,5365,4337.83803243,162.0,352.0,1.0,Rural,Y
LP001164,,No,1,Graduate,No,31165,2668.23585547,148.0,369.0,1.0,Urban,Y
LP001616,Male,Yes,1,Graduate,No,28397,6275.26012663,174.0,368.0,1.0,Urban,Y
LP001155,Male,No,1,Graduate,No,2839,4501.85370323,242.0,349.0,1.0,Semiurban,Y
LP001508,Male,No,2,Graduate,No,150,4635.92524105,258.0,354.0,0.0,Semiurban,Y
LP001155,Male,Yes,3,Graduate,No,150,43.8015197,54.0,350.0,1.0,Rural,Y
LP001155,Male,Yes,1,Not Graduate,No,5198,4485.51514588,266.0,350.0,1.0,Urban,Y
LP001637,Male,Yes,0,Graduate,No,13898,0.0,268.0,365.0,0.0,Semiurban,Y
LP001186,Male,Yes,3,Graduate,,3262,2403.88320072,364.0,351.0,1.0,Urban,Y
LP001034,Male,No,0,Graduate,No,12004,836.45116286,,348.0,1.0,Urban,Y
LP001034,Male,No,1,Graduate,No,23647,4521.49430698,106.0,78.0,1.0,Rural,Y
LP001859,Male,Yes,3,Graduate,No,44793,0.0,258.0,356.0,1.0,Urban,Y
LP001047,Male,No,0,Graduate,No,150,454.11390547,402.0,12.0,0.0,Semiurban,N
LP001038,Male,Yes,1,Graduate,No,19001,793.12016096,456.0,355.0,,Semiurban,Y
LP001005,,No,0,Not Graduate,No,150,515.42720819,11.0,349.0,1.0,Rural,Y
LP001531,Male,No,1,Graduate,No,3878,0.0,205.0,350.0,1.0,Rural,Y
LP001146,Female,Yes,1,Graduate,No,14003,0.0,184.0,368.0,1.0,Rural,N
LP001034,Male,Yes,3,Graduate,Yes,28540,0.0,9.0,348.0,1.0,Rural,Y
LP001034,Male,Yes,2,Graduate,Yes,11785,4221.31198524,232.0,348.0,0.0,Rural,Y
LP001047,Male,No,0,Graduate,No,2008,0.0,45.0,353.0,0.0,Rural,N
LP001034,Male,Yes,3,Graduate,No,150,6605.12616865,251.0,350.0,1.0,Urban,Y
LP001146,Male,Yes,,Graduate,No,3270,826.98902384,264.0,362.0,,Urban,N
LP001046,Female,No,0,Graduate,No,150,692.64876415,38.0,348.0,1.0,Rural,Y
LP001488,Male,Yes,2,Not Graduate,No,5529,2675.54559169,9.0,362.0,1.0,Rural,Y
LP001514,Male,Yes,0,Not Graduate,No,150,2343.79794711,9.0,349.0,1.0,Urban,N
LP001034,Male,Yes,0,Graduate,No,5779,0.0,9.0,371.0,1.0,Semiurban,N
LP001038,Male,No,0,Graduate,No,5288,0.0,700.0,414.0,1.0,Urban,Y
LP001151,Male,Yes,1,Not Graduate,No,11551,11354.71713263,193.0,360.0,1.0,Urban,Y
LP001119,Male,No,0,Not Graduate,No,150,4530.25944625,676.0,362.0,1.0,Rural,Y
LP001155,Male,Yes,2,Graduate,No,5735,0.0,248.0,355.0,1.0,Rural,Y
LP001034,Male,,0,Graduate,No,1658,0.0,265.0,361.0,1.0,Urban,Y
LP001043,Male,No,1,Graduate,No,4284,0.0,90.0,12.0,1.0,Urban,Y
LP001164,Male,No,2,Graduate,No,10322,0.0,9.0,349.0,1.0,Rural,Y
LP001005,Female,Yes,1,Graduate,,150,838.15594199,191.0,350.0,1.0,Rural,Y
LP001100,Male,Yes,2,Not Graduate,No,5115,526.21387043,100.0,147.0,1.0,Urban,Y
LP001114,Female,Yes,3,Not Graduate,No,150,686.22160295,272.0,362.0,1.0,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,13477,1022.78155922,19.0,349.0,0.0,Rural,Y
LP001146,Female,Yes,1,Graduate,No,14795,65.01088524,207.0,369.0,1.0,Rural,Y
LP001098,Male,Yes,2,Graduate,No,150,0.0,9.0,480.0,1.0,Semiurban,Y
LP001018,Male,No,0,Graduate,No,381,0.0,200.0,356.0,1.0,Semiurban,Y
LP001095,Male,Yes,0,Graduate,No,150,0.0,274.0,371.0,0.0,Urban,Y
LP001018,Male,No,0,Graduate,No,1078,0.0,461.0,363.0,1.0,Semiurban,Y
LP001155,Male,No,2,Graduate,No,150,848.70612669,241.0,360.0,1.0,Urban,Y
LP001002,Male,No,0,Graduate,No,1648,3653.32258361,93.0,349.0,1.0,Urban,N
LP001068,Male,No,0,Not Graduate,No,150,671.09057423,235.0,225.0,,Rural,Y
LP001155,Male,Yes,0,Graduate,No,150,3944.16680485,,348.0,0.0,Semiurban,Y
LP001002,Male,Yes,2,Graduate,No,150,0.0,,361.0,1.0,Rural,Y
LP001100,Male,,0,Graduate,Yes,270,0.0,168.0,356.0,1.0,Rural,Y
LP001146,Male,No,1,Graduate,No,150,6532.78010223,176.0,362.0,1.0,Rural,Y
LP001516,Male,No,0,Graduate,No,6180,0.0,44.0,355.0,1.0,Rural,Y
LP001639,Male,No,2,Graduate,No,1999,0.0,273.0,371.0,1.0,Rural,N
LP001100,Male,No,0,Graduate,No,13026,0.0,223.0,453.0,1.0,Urban,Y
LP001005,Male,Yes,0,Graduate,Yes,1957,739.97698348,244.0,358.0,,Rural,N
LP001095,Male,Yes,0,Graduate,No,150,447.37504196,57.0,349.0,1.0,Rural,Y
LP001034,Male,No,0,Graduate,No,624,0.0,9.0,368.0,,Semiurban,Y
LP001100,Male,No,1,Graduate,No,150,836.16400444,52.0,233.0,0.0,Urban,Y
LP001038,Female,Yes,3,Not Graduate,No,150,591.53872859,254.0,,1.0,Urban,Y
LP001186,Female,No,0,Not Graduate,Yes,150,365.37572832,273.0,363.0,,Rural,Y
LP001038,Female,Yes,3,Not Graduate,No,1358,793.70806906,9.0,350.0,0.0,Semiurban,Y
LP001186,Male,Yes,3,Graduate,,150,0.0,148.0,352.0,1.0,Urban,Y
LP001155,Male,Yes,3,Graduate,No,150,3995.23539955,213.0,366.0,1.0,Semiurban,N
LP001155,,No,0,Graduate,No,13589,204.51836929,41.0,480.0,1.0,Urban,Y
LP001036,Male,No,0,Graduate,No,1409,0.0,216.0,349.0,1.0,Semiurban,Y
LP001508,Female,No,3,Graduate,No,6071,0.0,,354.0,1.0,Urban,Y
LP001195,Male,Yes,1,Not Graduate,No,31970,0.0,117.0,372.0,1.0,Rural,Y
LP001146,Male,Yes,1,Graduate,Yes,13760,989.98983885,265.0,358.0,1.0,Rural,Y
LP001155,Female,Yes,2,Graduate,No,150,771.70296145,336.0,353.0,1.0,Semiurban,Y
LP001034,Male,Yes,3,Graduate,No,7640,0.0,262.0,369.0,1.0,Semiurban,Y
LP001047,Male,Yes,2,Not Graduate,No,150,1238.58706077,179.0,348.0,1.0,Rural,Y
LP001005,Female,Yes,1,Graduate,No,11022,4449.41716911,9.0,353.0,1.0,Urban,Y
LP001144,Male,No,1,Graduate,Yes,2192,3009.60963499,254.0,357.0,1.0,Urban,N
LP001038,Male,Yes,2,Graduate,No,150,0.0,166.0,359.0,1.0,Rural,Y
LP001034,Male,No,0,Graduate,No,585,3472.19714511,9.0,349.0,,Urban,N
LP001097,Male,No,1,Graduate,No,6506,8276.26358414,9.0,349.0,1.0,Semiurban,Y
LP001034,,Yes,1,Graduate,No,7666,1148.19936853,218.0,371.0,1.0,Urban,Y
LP001552,Male,No,2,Graduate,No,11930,712.48454719,235.0,364.0,1.0,Semiurban,Y
LP001034,Male,Yes,3,Graduate,No,150,1568.69314077,239.0,350.0,1.0,Semiurban,Y
LP001038,Male,No,3,Graduate,No,14711,0.0,9.0,351.0,1.0,Rural,Y
LP001100,Male,Yes,2,Graduate,No,150,8138.04690279,266.0,357.0,1.0,Rural,Y
